Data	Mundo	Transação	Alterar	Novos pontos Premium	Mais informações
 mai 22, 07:35 	Mundo 73	 Transferir 	 6 	 73 	Troca Premium: Argila vendido (1074)
 mai 20, 06:38 	Mundo 73	 Utilizados 	 -40 	 67 	+20% na produção de ferro 7
 mai 20, 06:38 	Mundo 73	 Utilizados 	 -40 	 107 	+20% na produção de argila 7
 mai 20, 06:38 	Mundo 73	 Utilizados 	 -40 	 147 	+20% na produção de madeira 7
 mai 18, 05:58 	Mundo 73	 Transferir 	 12 	 187 	Troca Premium: Madeira vendido (1370)
 mai 18, 05:58 	Mundo 73	 Transferir 	 14 	 175 	Troca Premium: Ferro vendido (1803)
 mai 17, 11:45 	Mundo 73	 Transferir 	 23 	 161 	Troca Premium: Ferro vendido (1619)
 mai 17, 11:45 	Mundo 73	 Transferir 	 23 	 138 	Troca Premium: Madeira vendido (1702)
 mai 16, 22:03 	Mundo 73	 Transferir 	 15 	 115 	Troca Premium: Ferro vendido (1009)
 mai 16, 19:14 	Mundo 73	 Transferir 	 12 	 100 	Troca Premium: Ferro vendido (801)
 mai 16, 15:33 	Mundo 73	 Transferir 	 18 	 88 	Troca Premium: Argila vendido (1227)
 mai 16, 15:33 	Mundo 73	 Transferir 	 19 	 70 	Troca Premium: Ferro vendido (1314)
 mai 16, 09:33 	Mundo 73	 Transferir 	 23 	 51 	Troca Premium: Ferro vendido (1537)
 mai 16, 09:33 	Mundo 73	 Transferir 	 20 	 28 	Troca Premium: Madeira vendido (1336)
 mai 15, 20:17 	Mundo 73	 Utilizados 	 -40 	 8 	+20% na produção de ferro 7
 mai 15, 18:16 	Mundo 73	 Transferir 	 20 	 48 	Troca Premium: Ferro vendido (1341)
 mai 15, 07:14 	Mundo 73	 Transferir 	 8 	 28 	Troca Premium: Argila vendido (538)
 mai 15, 06:11 	Mundo 73	 Transferir 	 20 	 20 	Troca Premium: Ferro vendido (1336)
 mai 14, 19:02 	Mundo 73	 Utilizados 	 -40 	 0 	+20% na produção de argila 7
 mai 14, 16:59 	Mundo 73	 Transferir 	 4 	 40 	Troca Premium: Argila vendido (266)
 mai 14, 14:28 	Mundo 73	 Transferir 	 6 	 36 	Troca Premium: Ferro vendido (401)
 mai 14, 13:11 	Mundo 73	 Transferir 	 4 	 30 	Troca Premium: Argila vendido (266)
 mai 14, 13:10 	Mundo 73	 Transferir 	 5 	 26 	Troca Premium: Ferro vendido (336)
 mai 14, 12:53 	Mundo 73	 Transferir 	 20 	 21 	Troca Premium: Madeira vendido (1338)
 mai 14, 05:18 	Mundo 73	 Utilizados 	 -40 	 1 	+20% na produção de madeira 7
 mai 14, 02:00 	Mundo 73	 Transferir 	 8 	 41 	Troca Premium: Madeira vendido (534)
 mai 14, 02:00 	Mundo 73	 Transferir 	 9 	 33 	Troca Premium: Argila vendido (602)
 mai 14, 00:32 	Mundo 73	 Transferir 	 8 	 24 	Troca Premium: Argila vendido (536)
 mai 14, 00:32 	Mundo 73	 Transferir 	 8 	 16 	Troca Premium: Madeira vendido (534)
 mai 14, 00:31 	Mundo 73	 Transferir 	 8 	 8 	Troca Premium: Ferro vendido (536)
